S.No,Product Code,Brand Name,Product Name,Price,Original Price (Was Price),Discount Percentage,Offer Price,URL,Category
132,466090835_maroon,THE TIE HUB,Indian,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-indian/p/466090835_maroon,Scarves and Stoles
133,466086163_black,THE TIE HUB,Geometric Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-geometric-print-men-scarf-with-fringed-hem/p/466086163_black,Scarves and Stoles
134,466087848_blue,THE TIE HUB,Checked print Men Scarf with Frayed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-frayed-hem/p/466087848_blue,Scarves and Stoles
135,466087802_grey,THE TIE HUB,Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-men-scarf-with-fringed-hem/p/466087802_grey,Scarves and Stoles
136,466090309_multi,THE TIE HUB,Colour-Block Woolen Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-colour-block-woolen-scarf/p/466090309_multi,Scarves and Stoles
137,466090182_grey,THE TIE HUB,Striped Woolen Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-woolen-scarf/p/466090182_grey,Scarves and Stoles
138,466090125_black,THE TIE HUB,Geometric Print Woolen Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-geometric-print-woolen-scarf-/p/466090125_black,Scarves and Stoles
139,466087973_cream,THE TIE HUB,Checked Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-men-scarf-with-fringed-hem/p/466087973_cream,Scarves and Stoles
140,466088160_grey,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466088160_grey,Scarves and Stoles
141,466086598_grey,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466086598_grey,Scarves and Stoles
142,466090353_blue,THE TIE HUB,Striped Woolen Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-woolen-scarf/p/466090353_blue,Scarves and Stoles
143,466087859_grey,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466087859_grey,Scarves and Stoles
144,466087518_cream,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466087518_cream,Scarves and Stoles
145,462435345_gold,Aditi Wasan,Twill Weaving Pattern Stole,₹650,"₹1,299",(50% off),₹650,https://www.ajio.com/aditi-wasan-twill-weaving-pattern-stole/p/462435345_gold,Scarves and Stoles
146,465431924_black,Heelium,Pack of 2 Bamboo Bandanas,₹400,₹999,(60% off),₹400,https://www.ajio.com/heelium-pack-of-2-bamboo-bandanas/p/465431924_black,Scarves and Stoles
147,464842370_beige,TOSSIDO,Graphic Print Cotton Stole,"₹1,443","₹1,899",(24% off),"₹1,424",https://www.ajio.com/tossido-graphic-print-cotton-stole/p/464842370_beige,Scarves and Stoles
148,464842065_pink,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464842065_pink,Scarves and Stoles
149,464929690_purple,THE TIE HUB,Paisley Print Square Shape Scarf,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-paisley-print-square-shape-scarf/p/464929690_purple,Scarves and Stoles
150,465003429_pink,THE TIE HUB,Floral Print Scarf,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-floral-print-scarf/p/465003429_pink,Scarves and Stoles
151,464929310_pink,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464929310_pink,Scarves and Stoles
152,464929248_purple,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464929248_purple,Scarves and Stoles
153,464844420_blue,TOSSIDO,Leaf Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-leaf-print-chiffon-stole/p/464844420_blue,Scarves and Stoles
154,464842118_grey,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464842118_grey,Scarves and Stoles
